loop_size,tick,time
2220955,15552192,5.027959
2046281,14329672,4.632724
3621472,25359848,8.198734
4430220,31473832,10.175360
1724644,12077996,3.904766
2365417,16563260,5.354833
3669362,25696208,8.307478
4516037,31628104,10.225235
3613219,25303248,8.180435
2252918,15775692,5.100216
4540056,31827456,10.289685
1745059,12219476,3.950506
1628556,11412152,3.689501
3013843,21106168,6.823537
4315829,30260308,9.783032
3702616,25929260,8.382822
4616680,32325764,10.450786
1764446,12356616,3.994843
2578085,18462148,5.968736
3824266,26781060,8.658206
4475696,31340464,10.132242
3189588,22336304,7.221235
3955837,27700088,8.955324
4729938,33122680,10.708425
1932475,13532644,4.375048
4706303,32958792,10.655441
3205771,22450112,7.258028
4733680,33146288,10.716058
2977627,20851172,6.741098
3210273,22482032,7.268348
4756516,33312552,10.769810
4198582,29400776,9.505149
4256554,29805576,9.636019
3377989,23668580,7.651954
3628803,25410932,8.215249
4981199,34882760,11.277452
4743406,34041292,11.005409
2298165,16092660,5.202690
4497237,32319112,10.448635
3356626,23505424,7.599206
3551083,24866960,8.039385
4037294,28268976,9.139243
4101685,28720768,9.285305
4179640,29273640,9.464047
2051138,14363540,4.643673
3417515,24754788,8.003120
2882256,20179976,6.524103
1667818,11680008,3.776098
4181961,29286728,9.468278
4460342,31230180,10.096588
4492085,32282824,10.436903
3657657,25613100,8.280609
2649930,18563040,6.001354
3447922,24139876,7.804322
3387596,23722408,7.669356
3582405,25085144,8.109923
3154226,23044612,7.450228
1593367,11159984,3.607977
3316086,23221852,7.507529
1131853,7927152,2.562815
3803641,26636372,8.611429
3072602,21517440,6.956499
4330436,30324444,9.803767
3060196,21431020,6.928560
1450591,10158228,3.284113
2959240,20720220,6.698761
3041396,21317036,6.891709
1193998,8362364,2.703518
4257405,29812220,9.638167
2538633,17779776,5.748128
3550625,24862168,8.037836
2808489,19663224,6.357039
1575927,11035504,3.567733
2652311,19399804,6.271876
1988130,13998672,4.525713
2627066,18393452,5.946527
1069826,7494380,2.422902
3870386,27100380,8.761441
3294884,23386532,7.560769
4251788,29771692,9.625065
3330729,24167640,7.813298
2786970,19516332,6.309549
2909445,20371576,6.586046
4980659,34907580,11.285476
1234892,8649652,2.796397
1297041,9084568,2.937003
3563065,25843284,8.355027
3389119,23733096,7.672812
1890409,13498412,4.363981
1879151,13157988,4.253923
3520972,24986064,8.077891
4694050,33749952,10.911220
3951754,27672844,8.946516
2851408,20018504,6.471899
2754247,19287472,6.235560
4402345,30832412,9.967991
4810649,33684912,10.890193
4795643,33584368,10.857687
4596344,32621584,10.546423
4068054,28488776,9.210303
2334276,16345440,5.284413
3146969,22042464,7.126237
1876544,13140204,4.248174
2910204,20380724,6.589004
4799281,33603880,10.863995
2864674,20063332,6.486392
4537271,31776972,10.273363
4869107,34093704,11.022353
1735061,12150732,3.928281
2832155,19835272,6.412661
4120895,28855120,9.328741
4065790,28474904,9.205819
4619126,32343180,10.456416
2030341,14240932,4.604034
4046449,28442792,9.195437
